Text;Tokenization;Normalization;Stop_Removal;Tweet_Stemmed;sentimen
kpop doang yang kena dari dulu daahhhhhhhhh padahal sama aja kayak ngefans sama artis pada umumnya bedanya sama orang korea doang;[kpop, doang, yang, kena, dari, dulu, daahhhhhhhhh, padahal, sama, aja, kayak, ngefans, sama, artis, pada, umumnya, bedanya, sama, orang, korea, doang];[kpop, doang, yang, kena, dari, dulu, dah, padahal, sama, saja, kayak, fan, sama, artis, pada, umumnya, bedanya, sama, orang, korea, doang];[kpop, doang, kena, dah, kayak, fan, artis, bedanya, orang, korea, doang];[kpop, doang, kena, dah, kayak, fan, artis, beda, orang, korea, doang];negatif
yang sering beli album kpop ini bedanya apa sih;[yang, sering, beli, album, kpop, ini, bedanya, apa, sih];[yang, sering, beli, album, kpop, ini, bedanya, apa, sih];[beli, album, kpop, bedanya, sih];[beli, album, kpop, beda, sih];netral
ucapkan cape pd cowo kpop;[ucapkan, cape, pd, cowo, kpop];[ucapkan, capek, pada, cowok, kpop];[ucapkan, capek, cowok, kpop];[ucap, capek, cowok, kpop];negatif
rnb please dia akun bodong fans bst yang nyamar jadi popbase sering nyebar berita hoax dari semua idol kpop kecuali berita idolnya sendiri;[rnb, please, dia, akun, bodong, fans, bst, yang, nyamar, jadi, popbase, sering, nyebar, berita, hoax, dari, semua, idol, kpop, kecuali, berita, idolnya, sendiri];[rnb, please, dia, akun, bodong, fan, bst, yang, nyamar, jadi, popbase, sering, nyebar, berita, hoax, dari, semua, idol, kpop, kecuali, berita, idolnya, sendiri];[please, akun, bodong, fan, bst, nyamar, popbase, nyebar, berita, hoax, idol, kpop, kecuali, berita, idolnya];[please, akun, bodong, fan, bst, nyamar, popbase, nyebar, berita, hoax, idol, kpop, kecuali, berita, idolnya];negatif
iya jg ya i always thought festa was a thing in kpop culture tp ternyata engga sjsjjs;[iya, jg, ya, i, always, thought, festa, was, a, thing, in, kpop, culture, tp, ternyata, engga, sjsjjs];[iya, juga, iya, i, always, thought, festa, was, a, thing, ini, kpop, culture, tapi, ternyata, tidak, sjsjjs];[iya, iya, i, always, thought, festa, was, a, thing, kpop, culture, tidak];[iya, iya, i, always, thought, festa, was, a, thing, kpop, culture, tidak];positif
hampir ku drop biasku phuwin yg pinter gitaran nyanyi semuanya deh pas baca ulang ternyata kpop;[hampir, ku, drop, biasku, phuwin, yg, pinter, gitaran, nyanyi, semuanya, deh, pas, baca, ulang, ternyata, kpop];[hampir, aku, drop, biasku, phuwin, yang, pintar, gitaran, nyanyi, semuanya, deh, pas, baca, ulang, ternyata, kpop];[aku, drop, biasku, phuwin, pintar, gitaran, nyanyi, deh, pas, baca, ulang, kpop];[aku, drop, bias, phuwin, pintar, gitar, nyanyi, deh, pas, baca, ulang, kpop];positif
gak ada duit gak ada duit buat cowo kpop ada terus;[gak, ada, duit, gak, ada, duit, buat, cowo, kpop, ada, terus];[tidak, ada, duit, tidak, ada, duit, buat, cowok, kpop, ada, terus];[tidak, duit, tidak, duit, cowok, kpop];[tidak, duit, tidak, duit, cowok, kpop];positif
iya juga habis liat di tl ada yg bahas festa nya group lainthn di dunia kpop dipikirpikir iya juga kok aku gapernah liat yg lain punya festa gitu ya atau aku yg gatau;[iya, juga, habis, liat, di, tl, ada, yg, bahas, festa, nya, group, lainthn, di, dunia, kpop, dipikirpikir, iya, juga, kok, aku, gapernah, liat, yg, lain, punya, festa, gitu, ya, atau, aku, yg, gatau];[iya, juga, habis, lihat, di, timeline, ada, yang, bahas, festa, nya, group, lain, tahun, di, dunia, kpop, dipikirpikir, iya, juga, kok, aku, enggak pernah, lihat, yang, lain, punya, festa, begitu, ya, atau, aku, yang, enggak tau];[iya, habis, lihat, timeline, bahas, festa, nya, group, lain, tahun, dunia, kpop, dipikirpikir, iya, enggak pernah, lihat, festa, ya, enggak tau];[iya, habis, lihat, timeline, bahas, festa, nya, group, lain, tahun, dunia, kpop, dipikirpikir, iya, enggak pernah, lihat, festa, ya, enggak tau];netral
cegil cegil kpop udah merambah ke dunia politik aja nih;[cegil, cegil, kpop, udah, merambah, ke, dunia, politik, aja, nih];[cegil, cegil, kpop, sudah, merambah, ke, dunia, politik, saja, nih];[cegil, cegil, kpop, merambah, dunia, politik, nih];[cegil, cegil, kpop, rambah, dunia, politik, nih];negatif
ini udah pernah ada yg bahas gak sihimo cravity’s tiktok is one of the best kpop idol tiktok account gak cuma diisi challen;[ini, udah, pernah, ada, yg, bahas, gak, sihimo, cravity, s, tiktok, is, one, of, the, best, kpop, idol, tiktok, account, gak, cuma, diisi, challen];[ini, sudah, pernah, ada, yang, bahas, tidak, sihimo, cravity, si, tiktok, is, one, of, the, best, kpop, idol, tiktok, account, enggak, cuma, diisi, challen];[bahas, tidak, sihimo, cravity, si, tiktok, is, one, of, the, best, kpop, idol, tiktok, account, diisi, challen];[bahas, tidak, sihimo, cravity, si, tiktok, is, one, of, the, best, kpop, idol, tiktok, account, isi, challen];positif
ya ini serius kayaknya mau gue nambah cowo kpop sebanyak apapun junghwan akan selalu ada di nomor satu sih dia punya special spot dihatiku kayak gue keliatan heboh soal dia pun gue akan selalu sayang;[ya, ini, serius, kayaknya, mau, gue, nambah, cowo, kpop, sebanyak, apapun, junghwan, akan, selalu, ada, di, nomor, satu, sih, dia, punya, special, spot, dihatiku, kayak, gue, keliatan, heboh, soal, dia, pun, gue, akan, selalu, sayang];[iya, ini, serius, kayaknya, mau, gue, bertambah, cowok, kpop, sebanyak, apapun, junghwan, akan, selalu, ada, di, nomor, satu, sih, dia, punya, special, spot, dihatiku, kayak, gue, kelihatan, heboh, soal, dia, pun, gue, akan, selalu, sayang];[iya, serius, kayaknya, gue, bertambah, cowok, kpop, apapun, junghwan, nomor, sih, special, spot, dihatiku, kayak, gue, heboh, gue, sayang];[iya, serius, kayak, gue, tambah, cowok, kpop, apa, junghwan, nomor, sih, special, spot, hati, kayak, gue, heboh, gue, sayang];positif
trus liat sekarang di luar kpop yg bukan haters membandingkannya ga jauh jauh dari beyonce dan mj;[trus, liat, sekarang, di, luar, kpop, yg, bukan, haters, membandingkannya, ga, jauh, jauh, dari, beyonce, dan, mj];[terus, lihat, sekarang, di, luar, kpop, yang, bukan, haters, membandingkannya, tidak, jauh, jauh, dari, beyonce, dan, mj];[lihat, kpop, haters, membandingkannya, tidak, beyonce, mj];[lihat, kpop, haters, banding, tidak, beyonce, mj];negatif
cowo thailand berkuasa sebelum kim taehyungpark seo joon cha eunwoo gong yoo dan sehun menyerang di indonesia;[cowo, thailand, berkuasa, sebelum, kim, taehyungpark, seo, joon, cha, eunwoo, gong, yoo, dan, sehun, menyerang, di, indonesia];[cowok, thailand, berkuasa, sebelum, kim, taehyungpark, seo, joon, cha, eunwoo, gong, ayo, dan, sehun, menyerang, di, indonesia];[cowok, thailand, berkuasa, kim, taehyungpark, seo, joon, cha, eunwoo, gong, ayo, sehun, menyerang, indonesia];[cowok, thailand, kuasa, kim, taehyungpark, seo, joon, cha, eunwoo, gong, ayo, sehun, serang, indonesia];positif
kalo ditarik ketahun sekarang udah wajar resesi dan pasca covid mungkin bisa di cek konser kpop ke indo yg lain harganya juga berkisar di situ bedanya di philipin ada foto bareng hiwave sedangkan di indo sejauh ini baru ada;[kalo, ditarik, ketahun, sekarang, udah, wajar, resesi, dan, pasca, covid, mungkin, bisa, di, cek, konser, kpop, ke, indo, yg, lain, harganya, juga, berkisar, di, situ, bedanya, di, philipin, ada, foto, bareng, hiwave, sedangkan, di, indo, sejauh, ini, baru, ada];[kalo, ditarik, ketahun, sekarang, sudah, wajar, resesi, dan, pasca, covid, mungkin, bisa, di, cek, konser, kpop, ke, indonesia, yang, lain, harganya, juga, berkisar, di, situ, bedanya, di, philipin, ada, foto, bareng, hiwave, sedangkan, di, indonesia, sejauh, ini, baru, ada];[kalo, ditarik, ketahun, wajar, resesi, pasca, covid, cek, konser, kpop, indonesia, harganya, berkisar, situ, bedanya, philipin, foto, bareng, hiwave, indonesia];[kalo, tarik, tahun, wajar, resesi, pasca, covid, cek, konser, kpop, indonesia, harga, kisar, situ, beda, philipin, foto, bareng, hiwave, indonesia];positif
ga berlaku buat kpop doang tapi semuanya harus di pertimbangkan sih;[ga, berlaku, buat, kpop, doang, tapi, semuanya, harus, di, pertimbangkan, sih];[tidak, berlaku, buat, kpop, doang, tapi, semuanya, harus, di, pertimbangkan, sih];[tidak, berlaku, kpop, doang, pertimbangkan, sih];[tidak, laku, kpop, doang, timbang, sih];positif
selama masi ada audience cowok aku akan super duper hati hati kalo ngonser kalo bukan kpop aku gakan pilih festival kalo kpop berani krna kebanyakan audience nya ciwi heheh. karena kalo cowo serem bgt kasian bgt kita ciwi;[selama, masi, ada, audience, cowok, aku, akan, super, duper, hati, hati, kalo, ngonser, kalo, bukan, kpop, aku, gakan, pilih, festival, kalo, kpop, berani, krna, kebanyakan, audience, nya, ciwi, heheh, karena, kalo, cowo, serem, bgt, kasian, bgt, kita, ciwi];[selama, masih, ada, audience, cowok, aku, akan, super, duper, hati, hati, kalo, ngonser, kalo, bukan, kpop, aku, gakan, pilih, festival, kalo, kpop, berani, karena, kebanyakan, audience, nya, ciwi, heheh, karena, kalo, cowok, seram, banget, kasihan, banget, kita, ciwi];[audience, cowok, super, duper, hati, hati, kalo, ngonser, kalo, kpop, gakan, pilih, festival, kalo, kpop, berani, kebanyakan, audience, nya, ciwi, heheh, kalo, cowok, seram, banget, kasihan, banget, ciwi];[audience, cowok, super, duper, hati, hati, kalo, ngonser, kalo, kpop, gakan, pilih, festival, kalo, kpop, berani, banyak, audience, nya, ciwi, heheh, kalo, cowok, seram, banget, kasihan, banget, ciwi];positif
gaesss kalo boleh minta tolong follow yak disitu kalian bisa propose untuk bikin event kpop kesayangan kalian;[gaesss, kalo, boleh, minta, tolong, follow, yak, disitu, kalian, bisa, propose, untuk, bikin, event, kpop, kesayangan, kalian];[gaesss, kalo, boleh, meminta, tolong, follow, iya, disitu, kalian, bisa, propose, untuk, bikin, event, kpop, kesayangan, kalian];[gaesss, kalo, tolong, follow, iya, disitu, propose, bikin, event, kpop, kesayangan];[gaesss, kalo, tolong, follow, iya, situ, propose, bikin, event, kpop, sayang];netral
berarti banget cowo kpop ku dan cowo wattpad ku;[berarti, banget, cowo, kpop, ku, dan, cowo, wattpad, ku];[berarti, banget, cowok, kpop, aku, dan, cowok, wattpad, aku];[berarti, banget, cowok, kpop, aku, cowok, wattpad, aku];[arti, banget, cowok, kpop, aku, cowok, wattpad, aku];positif
pas di pesbuk taun brp mah lupa postingan soal idol yg dpt julukan king of kpop pada ga terima dan sedih banget waktu itu;[pas, di, pesbuk, taun, brp, mah, lupa, postingan, soal, idol, yg, dpt, julukan, king, of, kpop, pada, ga, terima, dan, sedih, banget, waktu, itu];[pas, di, pesbuk, tahun, berapa, mah, lupa, postingan, soal, idol, yang, dapat, julukan, king, of, kpop, pada, tidak, terima, dan, sedih, banget, waktu, itu];[pas, pesbuk, mah, lupa, postingan, idol, julukan, king, of, kpop, tidak, terima, sedih, banget];[pas, pesbuk, mah, lupa, posting, idol, juluk, king, of, kpop, tidak, terima, sedih, banget];negatif
idol kpop yg bisa gitaran siapa ajaaaa ya;[idol, kpop, yg, bisa, gitaran, siapa, ajaaaa, ya];[idol, kpop, yang, bisa, gitaran, siapa, aja, iya];[idol, kpop, gitaran, aja, iya];[idol, kpop, gitar, aja, iya];netral
tetap menangisi dua cowok kpop ku yg abis event di bein sedangkan terpantau hari ini udah dptchat begini;[tetap, menangisi, dua, cowok, kpop, ku, yg, abis, event, di, bein, sedangkan, terpantau, hari, ini, udah, dptchat, begini];[tetap, menangisi, dua, cowok, kpop, aku, yang, habis, event, di, bein, sedangkan, terpantau, hari, ini, sudah, dapat, chat, begini];[menangisi, cowok, kpop, habis, event, bein, terpantau, dapat, chat];[tangis, cowok, kpop, habis, event, bein, pantau, dapat, chat];negatif
baru kli ini pengen yg kepengen bgt beli album kpop;[baru, kli, ini, pengen, yg, kepengen, bgt, beli, album, kpop];[baru, kali, ini, ingin, yang, ingin, banget, beli, album, kpop];[kali, ingin, ingin, banget, beli, album, kpop];[kali, ingin, ingin, banget, beli, album, kpop];positif
ini bukan mancing war yah akun protect di fandom kpop udah biasa karena belum ada komunitas untuk akun repoprotect untuk uri xodiac jadi sementara ini dekiss yg updatein akun mana ajah yg harus direpo;[ini, bukan, mancing, war, yah, akun, protect, di, fandom, kpop, udah, biasa, karena, belum, ada, komunitas, untuk, akun, repoprotect, untuk, uri, xodiac, jadi, sementara, ini, dekiss, yg, updatein, akun, mana, ajah, yg, harus, direpo];[ini, bukan, mancing, war, iya, akun, protect, di, fandom, kpop, sudah, biasa, karena, belum, ada, komunitas, untuk, akun, repoprotect, untuk, uri, xodiac, jadi, sementara, ini, dekiss, yang, updatein, akun, mana, saja, yang, harus, direpo];[bukan, mancing, war, iya, akun, protect, fandom, kpop, komunitas, akun, repoprotect, uri, xodiac, dekiss, updatein, akun, direpo];[bukan, mancing, war, iya, akun, protect, fandom, kpop, komunitas, akun, repoprotect, uri, xodiac, dekiss, updatein, akun, direpo];negatif
apasih stop bilang reaction gini bodoh gimana yg reaksi idol kpop gitu ga dibilang bodoh standar ganda bgt dah secara ga langsung kalian tu ngatain negara sendiri buat ga pantes dapet reaksi positif tau asli gedek sama yg komen gini lama lama;[apasih, stop, bilang, reaction, gini, bodoh, gimana, yg, reaksi, idol, kpop, gitu, ga, dibilang, bodoh, standar, ganda, bgt, dah, secara, ga, langsung, kalian, tu, ngatain, negara, sendiri, buat, ga, pantes, dapet, reaksi, positif, tau, asli, gedek, sama, yg, komen, gini, lama, lama];[apasih, stop, bilang, reaction, begini, bodoh, bagaimana, yang, reaksi, idol, kpop, begitu, enggak, dibilang, bodoh, standar, ganda, banget, deh, secara, tidak, langsung, kalian, itu, mengatai, negara, sendiri, buat, enggak, pantas, dapat, reaksi, positif, tau, asli, gedek, sama, yang, komen, begini, lama, lama];[apasih, stop, bilang, reaction, bodoh, reaksi, idol, kpop, dibilang, bodoh, standar, ganda, banget, deh, tidak, langsung, mengatai, negara, reaksi, positif, tau, asli, gedek, komen];[apasih, stop, bilang, reaction, bodoh, reaksi, idol, kpop, bilang, bodoh, standar, ganda, banget, deh, tidak, langsung, katai, negara, reaksi, positif, tau, asli, gedek, komen];negatif
ini mah semuanya nder wkwkwk opininya kontra dikit langsung di tololin apalagi yg warnya sampe bacokan apa gak lebih ngeri kalau mau discredit kpop gak ginjal caranya nder;[ini, mah, semuanya, nder, wkwkwk, opininya, kontra, dikit, langsung, di, tololin, apalagi, yg, warnya, sampe, bacokan, apa, gak, lebih, ngeri, kalau, mau, discredit, kpop, gak, ginjal, caranya, nder];[ini, mah, semuanya, nder, wkwkwk, opininya, kontra, dikit, langsung, di, tololin, apalagi, yang, warnya, sampai, bacokan, apa, tidak, lebih, ngeri, kalau, mau, discredit, kpop, enggak, ginjal, caranya, nder];[mah, nder, opininya, kontra, dikit, langsung, tololin, warnya, bacokan, tidak, ngeri, discredit, kpop, ginjal, nder];[mah, nder, opini, kontra, dikit, langsung, tololin, warnya, baco, tidak, ngeri, discredit, kpop, ginjal, nder];negatif
first time ku dengar group kpop nama woodz;[first, time, ku, dengar, group, kpop, nama, woodz];[first, time, aku, dengar, group, kpop, nama, woodz];[first, time, dengar, group, kpop, nama, woodz];[first, time, dengar, group, kpop, nama, woodz];netral
lagu kpop yang dangdoeeet abis menurut kalian drop dongg sender mau bikin plist;[lagu, kpop, yang, dangdoeeet, abis, menurut, kalian, drop, dongg, sender, mau, bikin, plist];[lagu, kpop, yang, dangdut, habis, menurut, kalian, drop, dong, sender, mau, bikin, plist];[lagu, kpop, dangdut, habis, drop, sender, bikin, plist];[lagu, kpop, dangdut, habis, drop, sender, bikin, plist];netral
penggemar kpop marah pada rain karena jadi line up di kcon lakenapa;[penggemar, kpop, marah, pada, rain, karena, jadi, line, up, di, kcon, lakenapa];[penggemar, kpop, marah, pada, rain, karena, jadi, line, up, di, kcon, lakenapa];[penggemar, kpop, marah, rain, line, up, kcon, lakenapa];[gemar, kpop, marah, rain, line, up, kcon, lakenapa];negatif
waaaa ada event noraebang di dom tapi beneran ngga ada temen yg beneran mengalir darah kpop di nadinya;[waaaa, ada, event, noraebang, di, dom, tapi, beneran, ngga, ada, temen, yg, beneran, mengalir, darah, kpop, di, nadinya];[waaaa, ada, event, noraebang, di, dom, tapi, benaran, tidak, ada, teman, yang, benaran, mengalir, darah, kpop, di, nadinya];[event, noraebang, dom, benaran, tidak, teman, benaran, mengalir, darah, kpop, nadinya];[event, noraebang, dom, benar, tidak, teman, benar, alir, darah, kpop, nadi];positif
kmrn bantuin suami sm temennya beli tiket ternyata dapet ga seganas war tiket kpopcoldplay yg gaib itu si jadi ya dpt aja tapi heran masa antriancata sm b lgsg fullbooked gua antrian segitu di kpop conce bisa pilih section mana aja;[kmrn, bantuin, suami, sm, temennya, beli, tiket, ternyata, dapet, ga, seganas, war, tiket, kpopcoldplay, yg, gaib, itu, si, jadi, ya, dpt, aja, tapi, heran, masa, antriancata, sm, b, lgsg, fullbooked, gua, antrian, segitu, di, kpop, conce, bisa, pilih, section, mana, aja];[kemarin, bantuin, suami, sama, temannya, beli, tiket, ternyata, dapat, tidak, seganas, war, tiket, kpopcoldplay, yang, gaib, itu, sih, jadi, ya, dapat, saja, tapi, heran, masa, antriancata, sama, b, langsung, fullbooked, gue, antrian, segitu, di, kpop, conce, bisa, pilih, section, mana, saja];[kemarin, bantuin, suami, temannya, beli, tiket, tidak, seganas, war, tiket, kpopcoldplay, gaib, sih, ya, heran, antriancata, b, langsung, fullbooked, gue, antrian, segitu, kpop, conce, pilih, section];[kemarin, bantuin, suami, teman, beli, tiket, tidak, ganas, war, tiket, kpopcoldplay, gaib, sih, ya, heran, antriancata, b, langsung, fullbooked, gue, antri, segitu, kpop, conce, pilih, section];netral
dear cowocewe kpop mengapa mencintaimu sangatlah mahal;[dear, cowocewe, kpop, mengapa, mencintaimu, sangatlah, mahal];[dear, cowocewe, kpop, mengapa, mencintaimu, sangatlah, mahal];[dear, cowocewe, kpop, mencintaimu, mahal];[dear, cowocewe, kpop, cinta, mahal];negatif
kalo artist thai kebanyakan liat story wkwkwk nih contohnya brightwin trs sama difollback kak kiara wkwkwk ini karna pernah meet up sih dan jd deket kalo cowok kpop belom pernah;[kalo, artist, thai, kebanyakan, liat, story, wkwkwk, nih, contohnya, brightwin, trs, sama, difollback, kak, kiara, wkwkwk, ini, karna, pernah, meet, up, sih, dan, jd, deket, kalo, cowok, kpop, belom, pernah];[kalo, artist, thai, kebanyakan, lihat, story, wkwkwk, nih, contohnya, brightwin, terus, sama, difollback, kak, kiara, wkwkwk, ini, karena, pernah, meet, up, sih, dan, jadi, dekat, kalo, cowok, kpop, belum, pernah];[kalo, artist, thai, kebanyakan, lihat, story,  nih, contohnya, brightwin, difollback, kak, kiara,  meet, up, sih, kalo, cowok, kpop];[kalo, artist, thai, banyak, lihat, story, nih, contoh, brightwin, difollback, kak, kiara,  meet, up, sih, kalo, cowok, kpop];netral
ini nder backingan gue cowok kpop gue ada orang nder;[ini, nder, backingan, gue, cowok, kpop, gue, ada, orang, nder];[ini, nder, backingan, gue, cowok, kpop, gue, ada, orang, nder];[nder, backingan, gue, cowok, kpop, gue, ada, orang, nder];[nder, backingan, gue, cowok, kpop, gue, ada, orang, nder];positif
selamat buat yang berhasil mendapatkan kpop lightstick pilihannya;[selamat, buat, yang, berhasil, mendapatkan, kpop, lightstick, pilihannya];[selamat, buat, yang, berhasil, mendapatkan, kpop, lightstick, pilihannya];[selamat, berhasil, kpop, lightstick, pilihannya];[selamat, hasil, kpop, lightstick, pilih];positif
tapi dipikir pikir lagi ya kalo orangorang pada protes soal ksoul yg ngubah namanya jdi soul karna gaterima namanya samaan kyk soul pharmony agak aneh soalnya yg namanya samaan di kpop kan juga byk jadi harusnya gapeu seheboh itu kalian pada dasarnya udah gasuka jadi;[tapi, dipikir, pikir, lagi, ya, kalo, orangorang, pada, protes, soal, ksoul, yg, ngubah, namanya, jdi, soul, karna, gaterima, namanya, samaan, kyk, soul, pharmony, agak, aneh, soalnya, yg, namanya, samaan, di, kpop, kan, juga, byk, jadi, harusnya, gapeu, seheboh, itu, kalian, pada, dasarnya, udah, gasuka, jadi];[tapi, dipikir, pikir, lagi, ya, kalo, orangorang, pada, protes, soal, ksoul, yang, ngubah, namanya, jadi, soul, karena, gaterima, namanya, samaan, kayak, soul, pharmony, agak, aneh, soalnya, yang, namanya, samaan, di, kpop, kan, juga, banyak, jadi, harusnya, gapeu, seheboh, itu, kalian, pada, dasarnya, sudah, gasuka, jadi];[dipikir, pikir, ya, kalo, orangorang, protes, ksoul, ngubah, namanya, soul, gaterima, namanya, samaan, kayak, soul, pharmony, aneh, namanya, samaan, kpop, gapeu, seheboh, dasarnya, gasuka];[pikir, pikir, ya, kalo, orangorang, protes, ksoul, ngubah, nama, soul, gaterima, nama, sama, kayak, soul, pharmony, aneh, nama, sama, kpop, gapeu, heboh, dasar, gasuka];negatif
huhu seneng bgt temenku di kantor ga terlalu kpop cuma suka dengerin aja feedback gini ke exo;[huhu, seneng, bgt, temenku, di, kantor, ga, terlalu, kpop, cuma, suka, dengerin, aja, feedback, gini, ke, exo];[huhu, senang, banget, temenku, di, kantor, tidak, terlalu, kpop, cuma, suka, dengarkan, saja, feedback, begini, ke, exo];[huhu, senang, banget, temenku, kantor, terlalu, tidak, kpop, suka, dengarkan, feedback, exo];[huhu, senang, banget, temenku, kantor, tidak, terlalu, kpop, suka, dengar, feedback, exo];positif
